# Source: https://andersonbioinfo.github.io/SurfSeq_Gene_coverage/
# Repo: https://github.com/andersonbioinfo/SurfSeq_Gene_coverage  commit 9ef3f77e31f998947672920e86f1e091fcfce5f5 (2025-07-26)
# Column: percentage of each gene's coding region covered by the SurfSeq panel design
gene	pct_coding_covered
ARHGEF37	100
ARHGEF38	93.75
ARHGEF39	100
ARHGEF4	99.2446
ARHGEF40	100
ARHGEF5	74.7444
ARHGEF6	100
ARHGEF7	100
ARHGEF9	100
ARID1A	100
ARID1B	99.8691
ARID2	100
ARID3A	100
ARID3B	100
ARID3C	100
ARID4A	100
ARID4B	100
ARID5A	100
ARID5B	100
ARIH1	100
ARIH2	100
ARL1	100
ARL10	99.9089
ARL11	100
ARL13A	100
ARL13B	100
ARL14	100
ARL14EP	100
ARL14EPL	100
ARL15	100
ARL16	100
ARL17A	34.3977
ARL17B	24.6487
ARL2	100
ARL2BP	100
ARL3	100
ARL4A	100
ARL4C	100
ARL4D	100
ARL5A	100
ARL5B	100
ARL5C	100
ARL6	100
ARL6IP1	100
ARL6IP4	100
ARL6IP5	100
ARL6IP6	100
ARL8A	100
ARL8B	100
ARL9	100
ARMC1	100
ARMC10	99.8104
ARMC12	100
ARMC2	100
ARMC3	100
ARMC5	100
ARMC6	100
ARMC7	100
ARMC8	100
ARMC9	100
ARMCX1	100
ARMCX2	100
ARMCX3	100
ARMCX4	99.9127
ARMCX5	100
ARMCX5-GPRASP2	100
ARMCX6	87.6359
ARMH1	100
ARMH2	100
ARMH3	100
ARMH4	100
ARMS2	100
ARMT1	100
ARNT	100
ARNT2	100
ARNTL	100
ARNTL2	100
ARPC1A	100
ARPC1B	100
ARPC2	100
ARPC3	100
ARPC4	100
ARPC4-TTLL3	100
ARPC5	100
ARPC5L	100
ARPIN-AP3S2	100
ARPP19	100
ARPP21	100
ARR3	100
ARRB1	100
ARRB2	99.3956
ARRDC1	100
ARRDC2	98.7645
ARRDC3	100
ARRDC4	99.9756
ARRDC5	100
ARSA	100
ARSB	100
ARSD	99.053
ARSF	100
ARSG	99.5983
ARSH	100
ARSI	100
ARSJ	100
ARSK	100
ARSL	100
ART1	100
ART3	100
ART4	100
ART5	100
ARTN	95.8908
ARV1	100
ARVCF	100
ARX	97.1539
AS3MT	100
ASAH1	100
ASAH2	88.1648
ASAH2B	48.1188
ASAP1	100
ASAP2	100
ASAP3	100
ASB1	100
ASB10	100
ASB11	100
ASB12	100
ASB13	99.3023
ASB14	100
ASB15	100
ASB16	100
ASB17	100
ASB18	97.751
ASB2	100
ASB3	100
ASB4	100
ASB5	100
ASB6	100
ASB7	100
ASB8	100
ASB9	100
ASCC1	100
